account_id|customer_id|account_number|account_type|account_balance|credit_score
1|16|2316875916|Savings|147824.42|751
2|76|6237500941|Savings|648996.66|543
3|89|7411594432|Savings|11030.2|335
4|9|6213252765|Investment|18058.03|508
5|69|5291569216|Checking|708117.96|610
6|87|2690970020|Savings|645698.52|753
7|58|6851597636|Investment|417379.65|492
8|29|3823069251|Savings|272292.11|494
9|48|2653972893|Investment|58930.24|372
10|17|5943895770|Savings|50720.59|835
11|28|1314255806|Checking|351881.24|775
12|18|7553063389|Savings|656095.46|768
13|14|4909636666|Savings|569049.96|828
14|36|7435705950|Savings|480533.53|554
15|27|2009151360|Investment|57251.18|376
16|29|5586555371|Investment|649996.89|527
17|4|3223999872|Investment|735490.05|531
18|30|6726860301|Investment|352972.82|680
19|90|4410088578|Checking|291955.68|424
20|6|5477184762|Investment|297307.72|529
21|74|7308172318|Investment|177772.15|484
22|14|1473886284|Investment|18844.92|426
23|44|8137675063|Checking|508436.18|412
24|48|9830739701|Savings|913833.9|614
25|3|8281031961|Checking|195680.78|405
26|60|2758704864|Savings|59179.4|493
27|46|9657208180|Checking|996352.4|406
28|36|3675460592|Savings|43498.25|303
29|37|7565607372|Investment|115185.71|702
30|81|8940199345|Checking|133031.32|469
31|41|4507167390|Checking|974800.77|780
32|23|7775979825|Savings|185455.21|381
33|69|4566855828|Savings|450172.52|791
34|9|4723797478|Investment|492009.56|832
35|75|8458347019|Savings|122625.48|406
36|25|2351168068|Checking|232752.74|691
37|46|5478583112|Savings|339056.78|573
38|14|9853696586|Savings|315733.61|421
39|35|5752967699|Checking|111536.32|343
40|97|5596611950|Investment|811086.83|316
41|18|5226424306|Savings|99290.95|488
42|27|6369017628|Savings|341195.45|770
43|48|2118501055|Checking|102876.09|339
44|83|8187965255|Investment|824995.68|699
45|1|6549053378|Savings|348907.25|768
46|94|4601587638|Savings|161285.29|698
47|65|2837823034|Investment|314192.23|820
48|29|8201976175|Investment|466920.45|599
49|97|9900249029|Investment|265793.24|791
50|5|9126454843|Checking|846103.71|723
51|97|8243261518|Checking|70604.33|327
52|84|2320372838|Investment|876119.2|563
53|19|5542505438|Savings|828898.27|840
54|70|6294012604|Savings|489047.98|335
55|4|3241083240|Savings|478507.76|310
56|79|6139183091|Savings|260867.17|684
57|24|3590759950|Savings|2721.13|348
58|59|1951719306|Savings|621047.62|334
59|3|2683653237|Checking|955616.06|489
60|46|7134064863|Checking|335707.81|606
61|72|7007112475|Investment|734433.18|560
62|44|8526340167|Investment|708547.42|804
63|1|5998635814|Investment|865754.14|305
64|38|2079297455|Savings|113787.7|436
65|44|8678229091|Savings|953963.72|700
66|47|7346206881|Checking|806241.54|842
67|50|3685805639|Checking|117786.37|563
68|62|4567337595|Investment|414148.3|586
69|40|4615552326|Checking|898279.69|759
70|89|9699667938|Savings|514249.49|701
71|99|8805826658|Checking|660723.7|398
72|82|5457745097|Investment|79065.7|514
73|2|5280107039|Savings|675841.18|469
74|56|7015487664|Savings|52693.02|353
75|18|4445939424|Investment|131691.18|778
76|37|1339178227|Savings|978969.62|425
77|46|9761635390|Checking|175369.42|561
78|80|6396713424|Savings|842490.37|319
79|84|7466349899|Savings|587241.02|657
80|83|5765247990|Checking|68660.2|729
81|22|4922361216|Investment|718642.93|659
82|46|6480826240|Investment|707264.02|653
83|12|7229444877|Checking|421530.75|561
84|28|1364368398|Checking|549646.63|778
85|33|9481671883|Investment|293823.93|708
86|68|2004332970|Checking|127402.6|806
87|90|9813017912|Checking|960511.58|495
88|77|7965894046|Savings|556117.62|734
89|27|9335896516|Checking|566807.81|624
90|42|9440650153|Savings|778773.84|506
91|81|6766341523|Investment|721807.08|471
92|21|3423603757|Checking|865612.9|638
93|24|8276986196|Checking|807775.3|752
94|64|8436270087|Savings|320112.96|504
95|1|2778681038|Investment|143106.06|786
96|22|4038928683|Savings|287919.2|456
97|78|8513196916|Investment|796189.07|475
98|92|4982863725|Checking|9893.3|431
99|77|5282885138|Investment|482571.29|346
100|96|4868172378|Savings|422560.77|764
